,type,time,dayofweek,models,params,queuelen,trials,duration
94,7.0,0.6715277777777792,1.0,2.0,659.0,0.0,200.0,2.0
95,13.0,0.5069444444444458,3.0,217.0,3044.0,0.0,40.0,2.0
96,9.0,0.5361111111111124,1.0,7.0,1166.0,0.0,40.0,0.0
97,13.0,0.36874999999999997,3.0,1.0,3923.0,0.0,200.0,1.0
98,9.0,0.759722222222221,4.0,5.0,297.0,0.0,40.0,0.0
99,14.0,0.7347222222222208,2.0,52.0,1537.0,3266.0,40.0,2.0
100,13.0,0.7180555555555542,2.0,1.0,2316.0,0.0,40.0,0.0
101,9.0,0.7881944444444459,4.0,17.0,245.0,1.0,40.0,0.0
102,5.0,0.9027777777777791,2.0,46.0,1222.0,0.0,40.0,0.0
103,8.0,0.725,4.0,4.0,1732.0,0.0,40.0,0.0
104,5.0,0.7083333333333334,1.0,1.0,16464.0,24.0,40.0,0.0
105,2.0,0.5597222222222209,2.0,1.0,19163.0,0.0,40.0,0.0
106,,0.43472222222222084,2.0,5.0,402.0,0.0,40.0,0.0
107,8.0,0.5736111111111124,4.0,22.0,22065.0,0.0,40.0,0.0
108,14.0,0.4972222222222209,5.0,8.0,969.0,3.0,20.0,1.0
109,9.0,0.7374999999999999,5.0,21.0,1773.0,0.0,40.0,1.0
110,9.0,0.22361111111111123,5.0,62.0,675.0,1.0,20.0,1.0
111,,0.7166666666666667,5.0,1.0,964.0,0.0,40.0,0.0
112,5.0,0.6875,3.0,2.0,3512.0,0.0,40.0,0.0
113,14.0,0.4451388888888875,4.0,21.0,3255.0,1.0,40.0,1.0
114,5.0,0.6881944444444458,5.0,7.0,5470.0,46.0,40.0,0.0
115,,0.5347222222222209,3.0,1.0,15082.0,0.0,40.0,0.0
116,,0.4444444444444458,1.0,7.0,2622.0,118.0,40.0,1.0
117,,0.5506944444444458,2.0,1.0,76.0,0.0,40.0,0.0
118,13.0,0.33055555555555544,1.0,14.0,4701.0,0.0,40.0,0.0
119,4.0,0.4284722222222208,5.0,2.0,276.0,0.0,40.0,0.0
120,9.0,0.4895833333333333,4.0,6.0,6096.0,0.0,20.0,0.0
121,12.0,0.7361111111111125,1.0,27.0,4762.0,0.0,40.0,1.0
122,12.0,0.7062499999999999,3.0,33.0,3285.0,15.0,40.0,2.0
123,9.0,0.8854166666666666,7.0,25.0,,0.0,40.0,0.0
124,,0.48125,3.0,147.0,2612.0,0.0,40.0,3.0
125,8.0,0.7354166666666666,3.0,7.0,31297.0,0.0,40.0,0.0
126,14.0,0.4694444444444457,2.0,13.0,1296.0,0.0,400.0,3.0
127,11.0,0.4993055555555543,4.0,3.0,165461.0,0.0,40.0,0.0
128,2.0,0.4409722222222208,4.0,26.0,8572.0,0.0,20.0,0.0
129,9.0,0.6333333333333333,4.0,2.0,1181.0,0.0,40.0,0.0
130,14.0,0.1875,4.0,71.0,2840.0,0.0,400.0,3.0
131,14.0,0.6173611111111125,3.0,219.0,474.0,11.0,40.0,2.0
132,9.0,0.25625000000000003,5.0,27.0,1018.0,0.0,40.0,0.0
133,7.0,0.46249999999999997,3.0,16.0,5736.0,10.0,40.0,1.0
134,6.0,0.740277777777779,5.0,13.0,361.0,0.0,40.0,0.0
135,11.0,0.6090277777777792,5.0,18.0,,0.0,40.0,1.0
136,11.0,0.6902777777777791,3.0,16.0,25794.0,0.0,400.0,1.0
137,9.0,0.46249999999999997,4.0,4.0,2542.0,0.0,40.0,0.0
138,14.0,0.603472222222221,2.0,21.0,3284.0,228.0,100.0,1.0
139,14.0,0.41388888888888875,3.0,17.0,3258.0,0.0,100.0,1.0
140,13.0,0.36041666666666666,4.0,62.0,,31.0,20.0,0.0
141,9.0,0.35694444444444456,1.0,28.0,492.0,0.0,40.0,1.0
142,9.0,0.7576388888888875,4.0,7.0,2546.0,0.0,40.0,0.0
143,14.0,0.6597222222222209,4.0,9.0,2941.0,65.0,40.0,1.0
144,13.0,0.42430555555555416,3.0,83.0,2908.0,0.0,20.0,0.0
145,11.0,0.4180555555555541,5.0,27.0,12805.0,0.0,20.0,0.0
146,8.0,0.7513888888888877,2.0,16.0,6458.0,0.0,40.0,0.0
147,13.0,0.5236111111111125,3.0,14.0,10704.0,0.0,40.0,0.0
148,7.0,0.8263888888888875,3.0,6.0,2226.0,0.0,40.0,1.0
149,9.0,0.740277777777779,3.0,2.0,4952.0,0.0,400.0,1.0
150,,0.4256944444444459,2.0,23.0,8384.0,0.0,40.0,2.0
151,13.0,0.01736111111111113,6.0,55.0,,0.0,40.0,1.0
152,8.0,0.5194444444444458,2.0,80.0,89437.0,0.0,40.0,0.0
153,5.0,0.6569444444444458,5.0,13.0,4825.0,132.0,40.0,1.0
154,8.0,0.8375,4.0,21.0,4341.0,0.0,40.0,0.0
155,9.0,0.5756944444444457,2.0,5.0,1035.0,0.0,40.0,0.0
156,9.0,0.5437500000000001,7.0,14.0,513.0,0.0,40.0,0.0
157,11.0,0.7055555555555543,3.0,26.0,442.0,0.0,40.0,0.0
158,13.0,0.5541666666666667,1.0,6.0,6036.0,3661.0,40.0,2.0
159,2.0,0.4895833333333333,2.0,222.0,19639.0,0.0,40.0,2.0
160,9.0,0.71875,2.0,2.0,,0.0,40.0,0.0
161,12.0,0.5763888888888876,2.0,5.0,2937.0,37.0,40.0,1.0
162,,0.7444444444444458,3.0,16.0,1275.0,0.0,400.0,3.0
163,,0.6618055555555542,5.0,10.0,2273.0,0.0,40.0,1.0
164,9.0,0.5291666666666667,2.0,3.0,,0.0,40.0,0.0
165,14.0,0.6868055555555542,2.0,21.0,3264.0,40.0,400.0,3.0
166,12.0,0.7423611111111125,2.0,52.0,1184.0,3414.0,40.0,2.0
167,4.0,0.6743055555555543,3.0,3.0,330.0,0.0,40.0,0.0
168,5.0,0.61875,5.0,18.0,17209.0,917.0,40.0,2.0
169,12.0,0.7819444444444458,4.0,6.0,8519.0,0.0,40.0,1.0
170,7.0,0.7277777777777791,1.0,12.0,4217.0,0.0,40.0,1.0
171,13.0,0.7694444444444457,3.0,56.0,6152.0,0.0,40.0,2.0
172,12.0,0.3958333333333333,1.0,8.0,2650.0,54.0,40.0,0.0
173,9.0,0.2222222222222221,5.0,62.0,661.0,3.0,20.0,1.0
174,,0.5173611111111124,5.0,14.0,7485.0,0.0,40.0,0.0
175,3.0,0.47013888888888755,5.0,14.0,1509.0,0.0,40.0,0.0
176,5.0,0.7180555555555542,2.0,1.0,3831.0,0.0,40.0,0.0
177,0.0,0.5395833333333333,3.0,216.0,3023.0,0.0,40.0,3.0
178,9.0,0.6770833333333334,3.0,8.0,836.0,36.0,40.0,0.0
179,13.0,0.7763888888888876,1.0,17.0,6572.0,0.0,40.0,0.0
180,3.0,0.6611111111111124,5.0,13.0,1514.0,0.0,40.0,0.0
181,,0.5395833333333333,3.0,9.0,85597.0,0.0,40.0,0.0
182,14.0,0.4409722222222208,5.0,21.0,3334.0,0.0,40.0,1.0
183,9.0,0.3993055555555554,1.0,7.0,282.0,0.0,40.0,0.0
184,9.0,0.8777777777777791,7.0,27.0,184.0,0.0,40.0,0.0
185,9.0,0.7673611111111125,5.0,21.0,1390.0,0.0,40.0,1.0
186,9.0,0.5444444444444457,7.0,31.0,504.0,0.0,40.0,1.0
187,12.0,0.4409722222222208,3.0,27.0,3175.0,0.0,40.0,1.0
188,6.0,0.056944444444444575,4.0,10.0,223.0,0.0,40.0,0.0
189,9.0,0.6506944444444458,2.0,9.0,320.0,0.0,40.0,0.0
190,13.0,0.6736111111111125,3.0,17.0,9402.0,0.0,40.0,0.0
191,9.0,0.5458333333333333,7.0,40.0,540.0,0.0,40.0,1.0
192,9.0,0.8777777777777791,7.0,17.0,,0.0,40.0,0.0
193,9.0,0.45138888888888756,2.0,4.0,4708.0,245.0,40.0,1.0
194,4.0,0.677777777777779,5.0,8.0,980.0,0.0,40.0,0.0
195,13.0,0.21875,5.0,217.0,12649.0,0.0,40.0,3.0
196,0.0,0.40069444444444463,3.0,221.0,1741.0,0.0,40.0,2.0
197,8.0,0.4166666666666667,4.0,1.0,12246.0,0.0,200.0,0.0
198,13.0,0.013194444444444458,5.0,55.0,4904.0,0.0,40.0,1.0
199,11.0,0.6326388888888875,2.0,13.0,139194.0,0.0,40.0,1.0
200,14.0,0.7604166666666666,4.0,3.0,3014.0,1.0,40.0,0.0
201,13.0,0.7479166666666667,1.0,11.0,4191.0,136.0,40.0,0.0
202,9.0,0.4388888888888875,1.0,9.0,226.0,1.0,40.0,0.0
203,11.0,0.5680555555555542,5.0,10.0,79587.0,0.0,200.0,1.0
204,6.0,0.7506944444444458,5.0,17.0,1192.0,0.0,400.0,2.0
205,12.0,0.7027777777777792,4.0,8.0,2733.0,2.0,20.0,1.0
206,7.0,0.7145833333333332,3.0,14.0,4874.0,2.0,40.0,1.0
207,11.0,0.4166666666666667,4.0,1.0,20597.0,0.0,200.0,0.0
208,14.0,0.6451388888888876,3.0,18.0,3321.0,0.0,40.0,1.0
209,8.0,0.6534722222222209,2.0,10.0,85915.0,0.0,40.0,0.0
210,9.0,0.5451388888888876,7.0,33.0,505.0,0.0,40.0,1.0
211,13.0,0.4083333333333334,5.0,23.0,451.0,3.0,40.0,1.0
212,13.0,0.8555555555555543,2.0,82.0,2924.0,1.0,20.0,0.0
213,14.0,0.7270833333333333,1.0,20.0,3261.0,74.0,100.0,2.0
214,9.0,0.49861111111111245,4.0,27.0,3454.0,9.0,40.0,1.0
215,,0.5652777777777791,4.0,13.0,1305.0,0.0,400.0,3.0
216,5.0,0.5951388888888876,3.0,26.0,444.0,3.0,40.0,1.0
217,9.0,0.5819444444444458,2.0,27.0,1716.0,0.0,40.0,1.0
218,8.0,0.4708333333333334,5.0,14.0,45711.0,0.0,40.0,0.0
219,13.0,0.6840277777777791,5.0,6.0,,43.0,40.0,0.0
220,7.0,0.6173611111111125,2.0,26.0,4859.0,0.0,40.0,3.0
221,14.0,0.584027777777779,2.0,26.0,1665.0,0.0,40.0,2.0
222,2.0,0.20763888888888873,2.0,220.0,16692.0,0.0,40.0,2.0
223,,0.4888888888888876,3.0,15.0,64089.0,0.0,40.0,0.0
224,7.0,0.6625,3.0,4.0,1415.0,0.0,40.0,1.0
225,9.0,0.7097222222222209,3.0,6.0,2822.0,0.0,40.0,0.0
226,5.0,0.7312500000000001,2.0,52.0,7266.0,3268.0,40.0,1.0
227,9.0,0.7194444444444458,5.0,28.0,930.0,0.0,40.0,1.0
228,14.0,0.884722222222221,5.0,71.0,2845.0,0.0,400.0,3.0
229,13.0,0.41250000000000003,5.0,1.0,1611.0,0.0,40.0,0.0
230,8.0,0.7756944444444458,1.0,17.0,54042.0,0.0,40.0,0.0
231,14.0,0.4270833333333333,5.0,22.0,1010.0,0.0,40.0,2.0
232,8.0,0.6333333333333333,4.0,1.0,29195.0,0.0,40.0,0.0
233,11.0,0.6680555555555543,5.0,18.0,81491.0,0.0,40.0,1.0
234,12.0,0.740277777777779,1.0,16.0,4456.0,1.0,40.0,1.0
235,,0.7604166666666666,1.0,16.0,2517.0,0.0,40.0,0.0
236,5.0,0.7430555555555541,4.0,9.0,,184.0,40.0,1.0
237,9.0,0.9305555555555541,7.0,26.0,198.0,0.0,40.0,0.0
238,6.0,0.425,5.0,21.0,905.0,0.0,40.0,1.0
239,12.0,0.4895833333333333,3.0,4.0,2514.0,0.0,40.0,1.0
240,14.0,0.6451388888888876,4.0,4.0,947.0,0.0,40.0,1.0
241,9.0,0.6993055555555543,5.0,7.0,1131.0,2.0,40.0,0.0
242,11.0,0.5979166666666667,5.0,46.0,233939.0,0.0,40.0,2.0
243,2.0,0.5208333333333334,3.0,31.0,36426.0,0.0,40.0,0.0
244,9.0,0.5951388888888876,4.0,2.0,1019.0,0.0,40.0,0.0
245,9.0,0.6340277777777791,2.0,12.0,6974.0,0.0,40.0,1.0
246,7.0,0.4479166666666667,4.0,8.0,2706.0,2.0,20.0,1.0
247,9.0,0.7125,3.0,14.0,2984.0,0.0,40.0,0.0
248,,0.8388888888888876,3.0,7.0,47244.0,0.0,40.0,2.0
249,9.0,0.41388888888888875,5.0,2.0,730.0,0.0,40.0,0.0
250,9.0,0.7777777777777791,3.0,10.0,3279.0,0.0,40.0,0.0
251,9.0,0.8701388888888876,1.0,9.0,557.0,159.0,40.0,1.0
252,8.0,0.47291666666666665,4.0,23.0,5458.0,0.0,40.0,0.0
253,6.0,0.23055555555555543,1.0,216.0,984.0,0.0,40.0,2.0
254,,0.43680555555555417,4.0,1.0,,0.0,200.0,0.0
255,6.0,0.6368055555555542,1.0,1.0,,0.0,30.0,0.0
256,9.0,0.5479166666666667,2.0,10.0,74.0,0.0,40.0,0.0
257,14.0,0.4430555555555542,3.0,21.0,3066.0,88.0,100.0,2.0
258,6.0,0.5506944444444458,3.0,9.0,533.0,0.0,40.0,0.0
259,,0.5444444444444457,1.0,62.0,1003.0,1.0,20.0,1.0
260,7.0,0.7576388888888875,5.0,12.0,4527.0,28.0,40.0,1.0
261,13.0,0.6090277777777792,3.0,16.0,9235.0,0.0,40.0,0.0
262,9.0,0.5916666666666667,4.0,4.0,79.0,0.0,40.0,0.0
263,14.0,0.7069444444444457,3.0,147.0,6296.0,0.0,40.0,3.0
264,13.0,0.32916666666666666,7.0,6.0,7884.0,0.0,40.0,0.0
265,5.0,0.6666666666666666,1.0,1.0,5786.0,0.0,40.0,1.0
266,9.0,0.4847222222222209,4.0,10.0,1169.0,0.0,40.0,0.0
267,14.0,0.709027777777779,1.0,4.0,74.0,0.0,40.0,0.0
268,9.0,0.43680555555555417,5.0,13.0,878.0,167.0,40.0,0.0
269,9.0,0.6048611111111124,1.0,6.0,5676.0,0.0,200.0,2.0
270,11.0,0.49097222222222087,3.0,83.0,,0.0,20.0,0.0
271,,0.5645833333333333,4.0,13.0,,0.0,400.0,3.0
272,14.0,0.7965277777777792,4.0,17.0,3263.0,0.0,40.0,1.0
273,12.0,0.7701388888888876,5.0,16.0,3707.0,0.0,400.0,3.0
274,13.0,0.4847222222222209,6.0,6.0,9983.0,0.0,40.0,0.0
275,4.0,0.6027777777777791,5.0,45.0,5509.0,0.0,40.0,2.0
276,13.0,0.5826388888888876,5.0,46.0,23427.0,212.0,40.0,2.0
277,,0.48541666666666666,4.0,1.0,79.0,0.0,40.0,0.0
278,13.0,0.41180555555555537,5.0,1.0,1985.0,0.0,200.0,1.0
279,13.0,0.5888888888888876,1.0,33.0,,167.0,40.0,1.0
280,13.0,0.5395833333333333,4.0,57.0,6164.0,0.0,40.0,2.0
281,13.0,0.6916666666666668,4.0,1.0,582.0,0.0,40.0,0.0
282,7.0,0.6201388888888876,2.0,14.0,4847.0,51.0,40.0,1.0
283,14.0,0.5715277777777791,2.0,148.0,2465.0,0.0,40.0,3.0
284,14.0,0.4875,4.0,23.0,261.0,0.0,40.0,1.0
285,9.0,0.5729166666666666,2.0,1.0,80.0,0.0,40.0,0.0
286,13.0,0.37569444444444455,2.0,23.0,6742.0,18.0,40.0,0.0
287,,0.5902777777777791,2.0,5.0,2106.0,3.0,20.0,2.0
288,11.0,0.6652777777777791,1.0,1.0,,0.0,40.0,0.0
289,9.0,0.8777777777777791,7.0,18.0,188.0,0.0,40.0,0.0
290,12.0,0.7604166666666666,2.0,9.0,3853.0,0.0,40.0,1.0
291,12.0,0.63125,2.0,12.0,15558.0,0.0,40.0,2.0
292,11.0,0.5826388888888876,2.0,2.0,148043.0,0.0,40.0,0.0
293,12.0,0.44930555555555424,3.0,8.0,1100.0,0.0,40.0,1.0
294,14.0,0.5069444444444458,1.0,57.0,,0.0,40.0,3.0
295,2.0,0.4354166666666666,3.0,1.0,18352.0,0.0,40.0,0.0
296,11.0,0.4354166666666666,2.0,5.0,45340.0,0.0,40.0,0.0
297,13.0,0.3555555555555554,4.0,8.0,400.0,0.0,40.0,0.0
298,,0.5513888888888876,5.0,21.0,401.0,0.0,40.0,0.0
299,4.0,0.63125,3.0,4.0,436.0,0.0,40.0,0.0
300,9.0,0.8791666666666668,7.0,24.0,190.0,0.0,40.0,0.0
301,4.0,0.7180555555555542,2.0,1.0,,0.0,40.0,0.0
302,3.0,0.5805555555555543,2.0,26.0,1187.0,0.0,40.0,0.0
303,9.0,0.915972222222221,3.0,12.0,2635.0,0.0,40.0,0.0
304,9.0,0.5444444444444457,7.0,28.0,553.0,0.0,40.0,1.0
305,8.0,0.5416666666666666,4.0,10.0,1393.0,0.0,40.0,0.0
306,,0.5,3.0,216.0,20731.0,0.0,40.0,2.0
307,5.0,0.4611111111111124,3.0,1.0,5651.0,0.0,40.0,0.0
308,5.0,0.7395833333333334,2.0,1.0,3271.0,0.0,200.0,1.0
309,3.0,0.7506944444444458,1.0,12.0,1202.0,0.0,40.0,0.0
310,4.0,0.6104166666666667,5.0,17.0,2103.0,0.0,40.0,1.0
311,12.0,0.4236111111111125,5.0,31.0,5698.0,1.0,40.0,1.0
312,13.0,0.5631944444444458,1.0,32.0,3273.0,0.0,40.0,0.0
313,13.0,0.740277777777779,1.0,16.0,4470.0,362.0,40.0,1.0
314,11.0,0.5833333333333334,5.0,45.0,233956.0,0.0,40.0,2.0
315,13.0,0.7006944444444457,3.0,3.0,5412.0,0.0,40.0,0.0
316,12.0,0.4534722222222209,2.0,1.0,3936.0,0.0,200.0,2.0
317,13.0,0.42430555555555416,5.0,21.0,2920.0,0.0,40.0,0.0
318,7.0,0.49583333333333335,7.0,31.0,2477.0,0.0,40.0,1.0
319,9.0,0.3888888888888888,3.0,3.0,1955.0,0.0,40.0,0.0
320,13.0,0.7736111111111125,2.0,147.0,7724.0,0.0,40.0,2.0
321,14.0,0.5666666666666667,5.0,20.0,3095.0,0.0,40.0,1.0
322,9.0,0.5972222222222209,2.0,131.0,566.0,0.0,40.0,1.0
323,7.0,0.4131944444444446,5.0,1.0,555.0,0.0,40.0,0.0
324,12.0,0.7069444444444457,5.0,16.0,3680.0,4.0,40.0,1.0
325,9.0,0.8402777777777791,1.0,11.0,392.0,0.0,40.0,0.0
326,,0.9243055555555543,2.0,82.0,898.0,17.0,20.0,0.0
327,13.0,0.7208333333333333,2.0,9.0,3808.0,0.0,40.0,0.0
328,12.0,0.775,5.0,13.0,3747.0,0.0,400.0,3.0
329,9.0,0.7777777777777791,2.0,82.0,953.0,0.0,20.0,1.0
330,9.0,0.7638888888888875,1.0,5.0,76.0,0.0,40.0,0.0
331,13.0,0.5944444444444458,1.0,7.0,5087.0,0.0,40.0,0.0
332,14.0,0.4423611111111125,1.0,20.0,3229.0,29.0,100.0,2.0
333,9.0,0.8048611111111125,4.0,22.0,,0.0,40.0,0.0
334,2.0,0.7333333333333334,5.0,16.0,25623.0,0.0,400.0,1.0
335,9.0,0.5895833333333333,5.0,21.0,1783.0,1718.0,40.0,1.0
336,7.0,0.9111111111111124,5.0,16.0,3736.0,0.0,400.0,3.0
337,3.0,0.5833333333333334,2.0,88.0,986.0,0.0,40.0,0.0
338,9.0,0.8777777777777791,7.0,27.0,188.0,0.0,40.0,0.0
339,11.0,0.4527777777777791,2.0,1.0,27973.0,0.0,200.0,0.0
340,8.0,0.5736111111111124,1.0,19.0,5960.0,0.0,40.0,0.0
341,0.0,0.3125,4.0,205.0,6842.0,0.0,40.0,3.0
342,2.0,0.18680555555555542,2.0,222.0,11511.0,0.0,40.0,2.0
343,9.0,0.5451388888888876,7.0,42.0,,0.0,40.0,1.0
344,8.0,0.68125,2.0,17.0,38888.0,0.0,40.0,0.0
345,13.0,0.63125,5.0,19.0,6483.0,147.0,40.0,1.0
346,14.0,0.44166666666666665,5.0,18.0,3265.0,8.0,40.0,1.0
347,14.0,0.7652777777777792,4.0,18.0,3330.0,0.0,40.0,1.0
348,2.0,0.6333333333333333,1.0,33.0,,0.0,40.0,0.0
349,9.0,0.5451388888888876,7.0,42.0,493.0,0.0,40.0,1.0
350,8.0,0.6305555555555542,2.0,2.0,62321.0,0.0,100.0,0.0
351,9.0,0.6861111111111123,1.0,11.0,,0.0,40.0,1.0
352,14.0,0.7604166666666666,3.0,20.0,3238.0,264.0,100.0,2.0
353,7.0,0.7618055555555543,2.0,9.0,3296.0,0.0,40.0,2.0
354,,0.44722222222222086,2.0,26.0,,3.0,20.0,1.0
355,4.0,0.4145833333333333,4.0,1.0,181.0,0.0,40.0,0.0
356,8.0,0.5819444444444458,2.0,58.0,25061.0,0.0,40.0,0.0
357,11.0,0.5138888888888876,3.0,147.0,189034.0,0.0,40.0,2.0
358,9.0,0.5451388888888876,7.0,29.0,549.0,0.0,40.0,1.0
